,0
0,"مدیر مخابرات منطقه خراسان رضوی گفت: عملیات جابجایی یک دکل مخابراتی در مشهد به دلیل قرار داشتن آشیانه‌ای که ۴ جوجه شاهین در آن حضور داشت به وقت دیگری موکول شد.

به گزارش روابط عمومی مرکز مخابرات خراسان رضوی، حسن اروجی افزود: این دکل مخابراتی قرار بود به دلایل فنی جمع‌آوری و به مکان دیگری منتقل شود ولی چون پرنده‌ها شرایط پرواز را نداشتند، این عملیات لغو شد. همزیستی این نوع پرندگان با تکنولوژی در گذشته نیز سابقه داشته است و در راستای احترام به محیط زیست پرندگان و حفظ جان جوجه‌ها این اقدام صورت گرفت.

مدیر مخابرات منطقه خراسان رضوی اظهار داشت: کمک به حفظ محیط زیست این پرنده جزیی از مسوولیت اجتماعی شرکت مخابرات ایران است که ما به بهترین شکل ممکن آن را انجام خواهیم داد.

شاهین نام عمومی ۳۷ گونه پرنده شکاری است که در تمام قاره‌های جهان به جز قطب جنوب زندگی می‌کنند. این پرندگان در سال اول عمر خود شهپرهایِ پروازِ بلندتری دارند تا به این شیوه بهتر بتوانند پرواز را بیاموزند و در سال‌های بعد با تغییر شهپرها تکنیک‌های پروازی خاص شاهین را می‌آموزند. از این پرندگان رام‌شده و آموزش‌دیده برای شکار استفاده می‌شد."
1,"می‌خواست پیش از دستگیرشدن، شهر‌های مختلف را بگردد و به قول خودش دنیا را ببیند. برای همین بعد از قتل، زمینش را فروخت و با پولش چند ماه تمام در شهر‌های مختلف گردش و تفریح کرد. او که به خاطر طلبش، بدهکار خود را با بنزین سوزاند و او را به قتل رساند، پس از تفریح در شهر‌های مختلف، وقتی در یک رستوران مشغول به کار شد، در دام پلیس افتاد.

ماجرا به روز ۱۱ بهمن سال گذشته برمی‌گردد؛ روزی که مردی ۵۰ ساله در بیمارستان بر اثر سوختگی جانش را از دست داد. وقتی ماموران پلیس در جریان این ماجرا قرار گرفتند، موضوع را در دستور کار خود قرار دادند و با حضور در محل حادثه به تحقیق در این رابطه پرداختند. تجسس‌های پلیس نشان داد که این مرد پنج روز قبل به بیمارستان منتقل شده و بر اثر سوختگی با بنزین جان باخته است. پسر مقتول در تحقیقات به پلیس گفت: «پدرم یک دفتر حقوقی دارد. او روز حادثه با یک مرد درگیر شد. آن مرد روی پدرم بنزین ریخت و او را به آتش کشید. بعد از آن از محل متواری شد.»

هویت قاتل مشخص بود، برای همین تحقیقات برای شناسایی و دستگیری او ادامه یافت تا اینکه ماموران او را چند روز پیش در یک رستوران شناسایی و دستگیر کردند. این مرد جوان تحت بازجویی قرار گرفت و به جرم خود اعتراف کرد. او طلب ۲۰۰ میلیونی خود از مقتول را انگیزه این جنایت اعلام کرد.

این قاتل جزییات قتل و انگیزه‌اش را روایت کرد.

اولین‌بار است که دستگیر می‌شوی؟

بله. من برای خودم کسی بودم. کارخانه داشتم و وضع مالی‌ام خیلی خوب بود. هیچ‌وقت سمت خلاف نرفته بودم که بخواهم دستگیر شوم.

چرا دست به قتل زدی؟

او یک دفتر حقوقی داشت. یکی از آشناهایمان او را به من معرفی کرد. قرار شد برایم وام پنج میلیارد تومانی جور کند. به او ۲۰۰ میلیون تومان پول دادم، تا وام را جور کند. ولی نه تنها وامی به من پرداخت نشد، بلکه او پولم را هم پس نداد. حتی یک چک جعلی به من داد که من به خاطر آن چک، پنج روز بازداشت شدم. برای همین، بعد از آزادی از زندان به سراغش رفتم تا پولم را پس بگیرم، اما او باز هم بهانه آورد. من عصبی شدم و این اتفاق افتاد.

برای چه وام می‌خواستی؟

مدت‌ها بود که وضع مالی‌ام بد شده بود. با نزول و وام مجبور بودم بدهی‌هایم را پرداخت کنم. من پول داشتم؛ کارخانه‌دار بودم، اما ورشکسته شدم. همین باعث شد که به سراغ وام و قرض بروم. تا اینکه با مقتول آشنا شدم و او گفت که می‌تواند برایم وام پنج میلیارد تومانی جور کند. با آن وام تمام مشکلات من حل می‌شد. برای همین کلی برنامه‌ریزی کردم، اما وام را که نداد، تازه پولم را هم خورد. حتی به خاطرش به زندان هم افتادم. برای همین عصبی بودم و کنترلم را از دست دادم.

برای کشتن مقتول با بنزین به آنجا رفتی؟

نه، فقط می‌خواستم او را بترسانم. اصلا فکرش را نمی‌کردم که کار به اینجا بکشد. می‌خواستم او را تهدید کنم تا پولم را پس بدهد. برای همین به دفترش در ستارخان رفتم. می‌خواستم هر طور شده پولم را بگیرم، ولی او باز هم بهانه آورد و هیچ پولی به من نداد. من که همه راه‌ها را به روی خودم بسته می‌دیدم، بنزین را روی او ریختم. حتی مقداری هم روی خودم و پسر مقتول ریخت. ما با هم درگیر شدیم. در این درگیری پسر مقتول مرا هُل داد. من هم روی زمین افتادم و فندک را روشن کردم. بعد که او آتش گرفت، فرار کردم.

بعد از قتل چه کار کردی؟

فرار کردم و از تهران خارج شدم. یک زمین در شمال غرب کشور داشتم، آن را فروختم. تصمیم گرفتم با پولش کل ایران را بگردم و به شهر‌های مختلف بروم. با خودم گفتم که دیگر زندگی من تمام شده و من به زودی دستگیر می‌شوم. برای همین حالا که روز‌های آخر است، بهتر است که بروم و بگردم. می‌خواستم شهر‌های مختلف را ببینم و ایران را بگردم. بعد از آن هم در یک رستوران مشغول به کار شدم که ماموران مرا شناسایی و دستگیر کردند."
2,"بعضي از منابع اعلام کردند شمار تلفات و مجروحان انفجار امروز در مسجدی در استان قندوز افغانستان به چهل و دو نفر افزایش یافت.

شمار تلفات و مجروحان انفجار امروز در مسجدی در استان قندوز افغانستان به چهل و دو نفر افزایش یافت.

منابع بیمارستانی گفته اند براثر انفجار امروز در مسجدی در شهرستان امام صاحب استان قندوز دوازه نفر جان باختند و سی نفر دیگر زخمی شدند. این انفجار در مراسم نماز جمعه در مسجد "" الف بردی "" به وقوع پیوست.

این انفجار ناشی از مین کار گذاشته شده در مسجد بود. هنوز فرد یا گروهی مسؤلیت این انفجار را برعهده نگرفته است"
3,"یدالله رئیسی‌ماکیانی رئیس بیمارستان حضرت ابوالفضل (ع) میناب بعد از ظهر امروز در گفت‌وگوی رسانه‌ای اظهار داشت: سالانه در شهرستان میناب با توجه به گرمی هوا و هجوم مار و عقرب به منازل، بسیاری از افراد دچار گزش می‌شوند.

وی افزود: سال گذشته آمار ثبت شده گزش‌ها ۱۱ هزار و ۵۴۸ نفر بوده و از ابتدای سال تاکنون ۵۵۴ مورد ثبت گزش به ثبت رسیده که این آمار موارد سرپایی اورژانس را شامل نمی‌شود.

رئیس بیمارستان حضرت ابوالفضل (ع) میناب تصریح کرد: تعداد ۲۰۰ نوع عقرب در دنیا وجود دارد که ۲۰ نوع از این عقرب‌ها سمی و کشنده هستند و از این ۲۰ نوع ۳ نوع کشنده آن در نواحی گرمسیری هرمزگان، سیستان بلوچستان، جنوب کرمان و خوزستان هستند.

رئیسی‌ماکیانی با بیان اینکه در سال گذشته و امسال هیچ یک از گزش‌ها با اقدامات به موقع کادر درمان منجر به مرگ بیماران در میناب نشده بود، ادامه داد: در مورد اخیر یک کودک ۱۰ ساله به دلیل گزش عقرب با وجود تلاش کادر درمان جان خود را از دست داد.

وی گفت: این کودک ۱۰ ساله ۲۱ خردادماده ساعت ۱۴:۵۲ دقیقه با تشخیص عقرب‌گزیدگی به بیمارستان مراجعه و بلافاصله توسط پزشک طب اورژانس بستری و آزمایشات بالینی برای وی انجام شد.

رئیس بیمارستان حضرت ابوالفضل (ع) میناب بیان کرد: آزمایشات ابتدایی انجام شده نشان از شرایط عادی بیمار می‌داد، ولی با این وجود متخصص طب اورژانس به آزمایش‌ها بسنده نکرد و ویال ضد عقرب توسط طب اورژانس در ۲ مرحله برای بیمار که بستری موقت بود انفوزیون شد.

رئیسی‌ماکیانی گفت: تا پیش از پروسه اعزام تمامی کار‌های درمانی و بالینی بیمار تا ساعت ۱:۳۰ دقیقه مورخه ۲۲ خرداد ۱۴۰۱ انجام و بیمار توسط آمبولانس اورژانس که آماده به اعزام یک بیمار ترومایی بود به بیمارستان کودکان اعزام شد. متاسفانه با خبر شدیم بیمار در بیمارستان کودکان بندرعباس جان باخته است که این غم بزرگ را به خانواده داغدیده این کودک تسلیت عرض می‌کنیم."
4,"رییس اورژانس پیش بیمارستانی شهرستان‌های نیشابور، فیروزه و زبرخان گفت: ۲ جوان در استخر کشاورزی روستای ""حصارآباد"" شهرستان زبرخان غرق شدند.

محمد شورورزی روز جمعه اظهار داشت: خبر این حادثه ساعت ۱۶ و ۲۷ دقیقه امروز به مرکز ارتباطات اورژانس ۱۱۵ اعلام شد که بلافاصله نیروهای اورژانس و آتش نشانی با همراهی ۲ دستگاه آمبولانس به محل اعزام شدند.

وی گفت: ۲ جوان غرق شده توسط نیروهای آتش نشانی از آب بیرون کشیده شده و کارشناسان اورژانس بدون درنگ اقدامات حیاتی نجات را آغاز کردند که این کار تا تحویل آنان به مرکز خدمات جامع سلامت اسحاق آباد ادامه داشت و سپس زیر نظر پزشک درمانگاه ۴٠ دقیقه عملیات احیای قلبی - ریوی در مرکز خدمات جامع سلامت انجام شد. متاسفانه به علت گذشت مدت زیادی از غوطه ور بودن این افراد در استخر، عملیات نجات موثر واقع نشد و این جوانان فوت کردند.

شورورزی افزود: از ابتدای امسال این نخستین حادثه غرق در این منطقه بود و با توجه به گرمای شدید هوا، متاسفانه شنا در استخرهای غیراستاندارد رو به افزایش است که از همشهریان تقاضا داریم به صورت جدی از ورود به استخرهای کشاورزی خودداری کنند.

مرکز شهرستان‌ ۶۰ هزار نفری زبرخان در ۱۰۰ کیلومتری غرب مشهد قرار دارد."
5,"رییس سازمان حج و زیارت از عزیمت بیش از ۹ هزار نفر از زائران ایرانی به سرزمین وحی تا عصر امروز- جمعه ۲۷ خردادماه ۱۴۰۱- خبر داد و گفت: تا ظهر امروز ۳۷ پرواز شامل حجاج و عوامل اجرایی سازمان حج و زیارت به عربستان سعودی انجام گرفته است.

سید صادق حسینی عصر جمعه- ۲۷ خردادماه ۱۴۰۱- پیش از عزیمت به مدینه منوره در جمع خبرنگاران با اشاره به اقدامات انجام شده در حوزه اجرایی برای حجاج امسال، گفت: با تلاش شبانه روزی مشکلی در حوزه اسکان در هتل‌ها، جداول پروازی ، حمل و نقل ، موضوعات بهداشتی مرتبط و به ویژه در خصوص صدور روادید وجود ندارد و روادید عزیزان به صورت الکترونیکی و با تلاش شبانه روزی دست اندرکاران انجام گرفته است.

وی با بیان اینکه تمامی دست اندرکاران حج و زیارت و دستگاههای همکار به خوبی برای حج ۱۴۰۱ فعالیت کرده اند، گفت: با توجه به زمان بسیار اندک، اقدامات قابل توجهی به ویژه در خصوص انتقال حجاج به عربستان صورت گرفته است که از سازمان هواپیمایی کشور قدردانی می کنیم.

رییس سازمان حج و زیارت با اشاره به اندک تاخیرهای موجود در برخی پروازهای حجاج به کشور میزبان و میانگین تاخیرها تا حدود یک ساعت، ابراز امیدواری کرد: دست اندرکاران ذیربط بدنبال کاهش مسایل و مشکلات حجاج باشند.

حسینی همچنین گزارشی از عملیات اجرایی بیان کرد و افزود: پروازهای حج امسال ابتدا از روز ۲۲ خرداد ماه به مدینه صورت گرفت و تعدادی از پروازهای نیز از شامگاه گذشته به جده اغلب شده است. تا ظهر امروز جمعه ۳۷ پرواز شامل حجاج و عوامل به عربستان سعودی انجام گرفته است.

مشاور وزیر فرهنگ و ارشاد اسلامی با بیان اینکه از ۲۲ خرداد تا ظهر امروز ۲۷ خرداد ماه حدود ۲۷ پرواز وارد مدینه منوره شده اند گفت: تعداد ۶هزار و ۹۶۲ نفر طی روزهای گذشته وارد مدینه منوره شده اند که این افراد مدینه اول محسوب می شوند.

در مجموع ۹ هزار و ۳۱۴ نفر عازم سرزمین وحی شده‌اند

وی افزود: حدود ۸ پرواز نیز از ایران وارد فرودگاه جده شده است و زائران پس ورود و احرام بستن به سمت مکه مکرمه و زیارت کعبه معظم مشرف شده‌اند؛ تعداد زائران مدینه بعد نیز تاکنون یک هزار و ۸۸۶ نفر بوده است.

رییس سازمان حج و زیارت با بیان اینکه در مجموع ۹ هزار و ۳۱۴ نفر عازم سرزمین وحی شده اند گفت: این عزیزان توسط ایران ایر به عربستان منتقل شده اند.

وی با اشاره به ایستگاه‌های پروازی و همکاری دست اندرکاران برای انتقال زائران گفت: زایران شهرهای کرمان، تبریز، زنجان و بندرعباس به طور کامل منتقل شده اند و مشکلی دراین خصوص وجود ندارد.

حسینی ابراز امیدواری کرد تا تمام زایران به سلامت اعزام شوند و با تندرستی و کوله باری از معنویت و اخلاق به کشور بازگردند و ما نیز خدمت رسان این عزیزان باشیم.

رییس سازمان حج و زیارت عصر امروز جمعه با بدرقه جمعی از مسوولان حج و زیارت کشور، تهران را به مقصد مدینه منوره ترک کرد.قرار است رییس سازمان حج و زیارت از نزدیک در جریان عملیات حج تمتع ۱۴۰۱»حضور داشته باشد.

نخستین مراسم دعای ندبه درجوارحرم مطهر رسول مکرم اسلام(ص) و ائمه مظلوم بقیع(ع) روز جمعه با حضور زائران ایرانی برگزار شد.

این مراسم نورانی که در فضایی آکنده از معنویت با حضور گروههایی از زائران کاروان های ایرانی در یکی از هتل‌های مدینه منوره برگزار شد، حال و هوای معنوی خاصی داشت.

دراین مراسم زائران کشورمان از شهرهای مختلف با نوای حاج علی فراهانی مداح اهل بیت عصمت و طهارت(ع) دعای پرفیض ندبه را زمزمه کردند.

جمعی از زائران قبر شریف نبی مکرم اسلام (ص) و ائمه مظلوم بقیع که در این مراسم معنوی شرکت کرده بودند امشب در مسجد شجره محرم می شوند و شهر پیامبر را برای انجام مناسک حج در مکه مکرمه ترک خواهند کرد."
6,"ژان-لویی ترنتینیان بازیگر بزرگ سینمای فرانسه که بیشتر برای بازی در فیلم‌های زد، کانفورمیست، قرمز، «ک مرد و یک زن، عشق شناخته می شد در سن ۹۱ سالگی درگذشت.

به گزارش رسانه‌های فرانسوی، ترنتینیان در طول حرفه ۶۰ ساله خود توانست از جشنواره فیلم کن ۱۹۶۹ جایزه بهترین بازیگر نقش اول مرد را برای تریلر سیاسی زد ساخته کوستا گاوراس و همینطور جایزه سزار سال ۲۰۱۳ را برای فیلم عشق میشاییل هانکه بدست آورد.

او با حضور در بیش از ۱۳۰ فیلم و ۵۰ کار تئاتر، یک استعداد بسیار پرکار و محترم در کشور فرانسه به شمار می آمد.

ترنتینیان قادر بود در هر کاری از یک اثر شکسپیری گرفته تا کمدی‌های تجاری فرانسوی یا کارهای محبوب سینمای هنری مانند آثار برتولوچی، کیشلوفسکی و تروفو تا عاشقانه های محبوب سینما و آثار علمی بدرخشد."
7,"عذاب وجدان دارد. هنوز هم باورش نمی‌شود که کارش منجر به مرگ یک کودک شده است. نمی‌داند چه بگوید. گرمای آن روز او را عصبی کرده و باعث شده بود وقتی خودروی اورژانس را مقابل خود دید، چرخ‌هایش را پنچر کند! راننده عصبانی حالا دستگیر شده و هنوز مشخص نیست که چه حکمی در انتظارش است. این در حالی است که هنوز کسی در این پرونده شکایتی مطرح نکرده است.

روز سه‌شنبه، ۲۴ خرداد ماه بود که این حادثه تلخ رخ داد. وقتی خانواده‌ای با اورژانس تماس گرفتند و درخواست آمبولانس برای کودک بیمار خود کردند، خودروی اورژانس بلافاصله در محل حاضر شد، اما هنگام انتقال این کودک بیمار متوجه چرخ‌های پنچر ماشین شدند. این کودک جان باخت و یکی از حادثه‌های تلخ در تهران رقم خورد.

علی صالحی، دادستان تهران در تشریح جزییات این ماجرا گفت: «بنا بر گزارش اورژانس تهران، روز سه‌شنبه، ۲۴ خرداد به دلیل شرایط ترافیکی خیابان شهید بهشتی و نبود جای پارک مناسب و حال وخیم دختربچه‌ای دو ساله که در مطب پزشک دچار مشکل تنفسی شده بود، نیرو‌های اورژانس به ناچار برای نجات جان بیمار، آمبولانس را در خط ویژه پارک کردند. آن‌ها پس از عملیات احیا، قصد انتقال کودک مورد نظر را داشتند که متوجه شدند دو عدد از چرخ‌های آمبولانس توسط فردی ناشناس، آسیب دیده و باد‌های لاستیک آن خالی شده است. در ادامه، نیرو‌های اورژانس درخواست حضور آمبولانس دیگری دادند. آمبولانس دوم هم در محل حاضر شد، اما طولانی شدن روند انتقال به دلیل اتفاق به وجود آمده باعث وخامت مجدد حال کودک شد. این دختربچه دوساله جان خود را از دست داد و از نیرو‌های اورژانس نیز کمکی برنیامد.»

بازداشت در خانی‌آباد

وی ادامه داد: «به محض اطلاع از موضوع و با توجه به بررسی تصاویر دوربین‌های مداربسته و مشخص شدن نحوه پنچر کردن لاستیک‌های آمبولانس، شناسایی و دستگیری فرد خاطی در دستور کار دادستانی تهران و دادسرای جنایی قرار گرفت. پس از بررسی‌های لازم طی عملیاتی متهم در خانه خود در خانی‌آباد دستگیر شد. این متهم که راننده اتوبوس است با صدور قرار تامین کیفری در بازداشت به سر می‌برد و جسد دختربچه دو ساله هم برای تعیین علت مرگ به پزشکی قانونی منتقل شده است. تحقیقات در خصوص این پرونده در دادسرای جنایی تهران ادامه دارد.»

هنوز هم باورم نمی‌شود

راننده اتوبوس تحت بازجویی قرار گرفت. وی که از این ماجرا به شدت شوکه شده است، در اظهاراتش گفت: «هنوز هم باورم نمی‌شود که باعث مرگ یک کودک شده‌ام. خیلی عذاب وجدان دارم. آن روز من کلی کار کرده بودم، خسته بودم، از طرفی گرمای هوا نیز مرا کلافه کرده بود. برای همین وقتی دیدم که خودروی اورژانس در خط ویژه پارک شده است، چرخ‌هایش را پنچر کردم، اما هرگز تصورش را هم نمی‌کردم که باعث مرگ کسی شوم. خیلی عذاب وجدان دارم. حال و روز خوبی ندارم. قصدم این نبود که باعث مرگ کسی شوم، فقط خیلی عصبانی و کلافه بودم. حالا که فهمیده‌ام کودکی جان باخته، به شدت ناراحتم.»

با این اعترافات، در حال حاضر تجسس‌ها در این‌خصوص در دادسرای جنایی پایتخت همچنان ادامه دارد. در صورتی که اورژانس و خانواده کودک شکایت کنند، برای این راننده اتوبوس اتهام تخریب، قتل شبه‌عمد و اخلال در نظم عمومی در نظر گرفته می‌شود. البته این در صورتی است که شکایتی مطرح شود، ولی هنوز شکایتی در این‌خصوص ثبت نشده است."
8,"پرداخت مطالبات تیم یونانی

حامد افضلی معاون بین‌الملل باشگاه استقلال در گفت‌وگو با رسانه رسمی این باشگاه، در خصوص باز شدن پنجره نقل و انتقالاتی آبی‌پوشان پایتخت، اظهار کرد: همانطور که پیشتر اعلام شده بود، پنجره نقل و انتقالاتی استقلال به دلیل درخواست حق رشد محمدرضا آزادی از سوی باشگاه پانتولیکوس یونان بسته شده بود که با پیگیری‌های لازم از سوی باشگاه، طلب پانتولیکوس از محل مطالبات استقلال در فیفا پرداخت و پنجره نقل و انتقالاتی استقلال باز شد."
9,"رضا درویش مدیرعامل باشگاه پرسپولیس امروز جمعه با حضور در یک برنامه زنده تلویزیون رقم قرارداد سرمربی این تیم را کمتر از ۴۰ میلیارد تومان برای دو فصل عنوان کرد. به دنبال انتشار این خبر باشگاه پرسپولیس توضیحاتی ارائه کرد. در این توضیح آمده است:

«بعد از حضور رضا درویش، مدیرعامل باشگاه در برنامه امروز ورزشگاه، خبری مبنی بر مبلغ قرارداد سرمربی تیم در رسانه‌ها منتشر شد که به نظر می‌رسد برداشت درستی در این رابطه صورت نگرفته است.

اظهارنظر مدیرعامل پرسپولیس در پاسخ به مجری برنامه اشاره به مبلغ قرارداد سرمربی تیم در بازه زمانی سه ساله بود که دو سال از قرارداد آقای گل‌محمدی مانده است، اما در رسانه‌ها عنوان شده این مبلغ مربوط به دو سال است که بدینوسیله این موضوع اصلاح می‌شود.»"
