,0
10,"اقتصادنیوز: وزارت بهداشت اعلام کرد هم‌اکنون هیچ شهری در ایران با وضعیت قرمز و نارنجی وجود ندارد و تعداد شهرهای زرد به ۲۵۳ شهر رسیده است.

بنابر اعلام مرکز روابط عمومی و اطلاع رسانی وزارت بهداشت در حال حاضر هیچ شهری با وضعیت قرمز و نارنجی در کشور وجود ندارد و تعداد شهرهای زرد به ۲۵۳ شهر و شهرهای آبی به ۱۹۵ شهر رسیده است.

بر اساس آخرین به روز رسانی‌ها، هیچ یک از شهرهای کشور همانند هفته‌های گذشته، در وضعیت قرمز و نارنجی نیستند.

تعداد شهرهای با وضعیت زرد از ۲۵۵ به ۲۵۳ شهر رسید و تعداد شهرهای با وضعیت آبی از ۱۹۳ به ۱۹۵ شهر افزایش یافت.

در حال حاضر هیچ شهری با وضعیت قرمز و نارنجی در کشور وجود ندارد و تعداد شهرهای زرد به ۲۵۳ شهر و شهرهای آبی به ۱۹۵ شهر رسیده است."
11,"بیلبوردی در سطح شهر تهران نصب شده است که به نقل از مرحوم مصطفی چمران اعلام می‌دارد: «آنکه تخصص ندارد و کاری را می‌پذیرد، بی‌تقواست.»

احمد زیدآبادی در یادداشتی نوشت: انتخاب چنین مضمونی برای اعلام در سطح شهر با توجه به اینکه جمعِ بسیاری از مسئولان و مدیران کشور، از سوی جوامع کارشناسی، متهم به نداشتن تخصص و یا تخصص لازم و کافی در حوزۀ شغل و مدیریت خود هستند، به چه منظوری صورت گرفته است؟

آیا منظور این است که آنها برای اثبات تقوای خود قصد کناره‌گیری از شغل‌شان را دارند؟ اگر منظوری جز این در میان باشد، اعلام چنین مضمونی در سطح شهر تهران مانند این است که در خیابان‌های پکن بیلبوردی نصب کنند و روی آن بنویسند: نظام سیاسی تک حزبی نشانۀ جور و ستم به مردم است! یا در خیابان‌های مسکو روی بیلبوردها نوشته شود: جنگ علیه کشور همسایه عاقبتش ننگ و سرافکندگی است! یا در خیابان‌های اسرائیل بیلبوردهایی از طرف نهادهای دولتی اعلام دارد: اشغال کرانۀ باختری و تداوم شهرک‌سازی جنایت علیه بشریت است!"
12,"قطعنامه «خوب» است و باید «ماه‌ها پیش» تصویب می‌شد

وزیر خارجه سابق دولت ایالات متحده آمریکا در جریان گفتگو با یک شبکه سعودی به بیان ادعاهایی علیه جمهوری اسلامی ایران پرداخت و از ترور شهید «سردار سلیمانی» نیز دفاع کرد./ من درک نمی‌کنم چرا ما با کشوری که در مورد برنامه هسته‌ای خود دروغ گفته است، مذاکره می‌کنیم.

«مایک پمپئو» وزیر خارجه سابق دولت ایالات متحده آمریکا در جریان گفتگو با شبکه سعودی العربیه به بیان ادعاهایی علیه جمهوری اسلامی ایران پرداخت.

پمپئو مدعی شد: نظام ایران متشکل از مذهب سالارهای شیطانی است! و هدف این نظام نابودی آمریکا و اسرائیل است. ایرانی ها درباره تاریخچه برنامه هسته ای خود دروغ گفتند! نمی دانم چرا ما باید با کسانی مذاکره کنیم که درباره برنامه هسته ای خود دروغ گفتند.

پمپئو در ادامه به قطعنامه اخیر شورای حکام آژانس بین المللی انرژی اتمی علیه ایران اشاره کرد و گفت: این قطعنامه خوب بود. البته من شخصا معتقدم که چنین قطعنامه ای باید چندین ماه پیش صادر می شد.

وزیر خارجه سابق آمریکا ضمن متهم کردن ایران به نقض NPT مدعی شد که کشورش به معاهده مذکور پایبند است و ایران نیز باید به آن پایبند باشد.

وی همچون گذشته ادعا کرد که ایران قطعنامه های آژانس بین المللی انرژی اتمی را نقض می کند و روسیه و چین هم با این قطعنامه ها مخالفت دارند. نقض این قطعنامه ها به خوبی گویای جهت‌گیری برنامه تسلیحاتی ایران است!

پمپئو مدعی شد: بسیار خطرناک است که به ایران اجازه داده شود سلاح هسته ای داشته باشد! اگر من در دولت آمریکا بودم، اجازه نمی دادم اموال بلوکه شده آن آزاد شوند.

وی با اشاره به حمایت های جمهوری اسلامی ایران از گروه های مقاومت در سطح منطقه گفت: ایران از حزب الله و حماس حمایت مالی می کند. وزیر خارجه سابق آمریکا در عین حال، از گروه های مذکور به عنوان گروه های تروریستی یاد کرد! به نظر می رسد پمپئو خود را به فراموشی زده و اظهارات رئیس جمهور محبوبش یعنی ترامپ در زمان تبلیغات انتخابات ریاست جمهوری در سال ۲۰۱۶ را فراموش کرده است؛ جایی که ترامپ از داعش به عنوان گروه تروریستی یاد کرده و آمریکا را به عنوان ایجادکننده این گروه معرفی کرد.

پمپئو در ادامه سخنانش بار دیگر بر لزوم عدم آزادسازی اموال بلوکه شده جمهوری اسلامی ایران توسط آمریکا تأکید کرد و مدعی شد: آزادسازی این اموال، موجب افزایش ظرفیت ساخت تسلیحات هسته ای توسط تهران می شود! با این حال، این شخصیت آمریکایی اشاره نکرد که بلوکه کردن اموال جمهوری اسلامی و دیگر کشورهای مخالفِ سیاست های خصمانه و توسعه طلبانه آمریکا، نوعی غارتگری و راهزنی محسوب می شود. ما در مقابله با ایران تنها نباید به وضع تحریم بپردازیم. در واقع، تحریم ها باید زنجیره وار باشند یعنی نه تنها علیه ایران که همزمان علیه روسیه و چین اعمال شوند. اگر آن تحریم ها ادامه پیدا می کرد و شدت می یافت، اکنون ایران در موقعیت بسیار سختی قرار می گرفت!

مایک پمپئو در ادامه مصاحبه با شبکه العربیه (وابسته به قاتلان جمال خاشقجی) به دفاع از اقدام ایالات متحده آمریکا در ترور سردار سلیمانی پرداخت و مدعی شد: برخی می گفتند که اگر ژنرال سلیمانی را ترور کنید، جنگ اتفاق خواهد افتاد. با این حال، ما چنین کاری کردیم و جنگی هم رخ نداد! ژنرال سلیمانی تصمیم داشت طرح کشتن ۵۰۰ آمریکایی را عملیاتی سازد. ما این طرح را خنثی کردیم و اجازه ندادیم عملیاتی شود! هدف پمپئو از این دروغ بزرگ، فریب افکار عمومی و مشروعیت بخشیدن به یک جنایت واضح و آشکار است. از آنجایی که مقامات آمریکایی به خوبی نسبت به موضع گیری افکار عمومی در منطقه و جهان در قبال جنایت ترور سردار سلیمانی واقف هستند، در حال حاضر تمام تلاش خود را به کار بسته اند تا با اتهام زنی به این شهید و دروغگویی در رابطه با فعالیت های وی، به نوعی به جنایتشان مشروعیت بخشند. ایرانی ها تلاش دارند مقامات کنونی آمریکا را متقاعد کنند که آنها مانند امثالِ من رفتار نکنند. این شیوه همیشگی آنها بوده است. در واقع، آنها به واشنگتن پیام می دهند که مراقب رفتارتان با ما نباشید، شما را می کُشیم!"
13,"سازمان بهشت حضرت زهرا(س) طی بیانیه‌ای به ویدئوی تبلیغ نمایش دختران بابا آنتون واکنش نشان داد و اعلام کرد به دلیل فیلمبرداری بدون مجوز این گروه در فضای سازمان بهشت حضرت زهرا(س) و هتک حرمت‌های به کار رفته در این ویدئو این موضوع را از مراجع قضایی پیگیری خواهد کرد.

متن این بیانیه به شرح زیر است:

""بسم الله الرحمن الرحیم

وَ الَّذِینَ آمَنُوا بِاللَّهِ وَ رُسُلِهِ أُولئِکَ هُمُ الصِّدِّیقُونَ وَ الشُّهَداءُ عِنْدَ رَبِّهِمْ لَهُمْ أَجْرُهُمْ وَ نُورُهُمْ

و آنان که به خدا و رسولانش ایمان آورند، به حقیقت راستگویان عالمند و برایشان نزد خدا اجر شهیدان است، پاداش اعمال و نور ایمانشان را می‌یابند.

در روزهای اخیر انتشار ویدئویی کوتاه از تبلیغ یک نمایش، که در بهشت حضرت زهرا(س) و به شکلی نامتعارف فیلمبرداری شده بود، موجب آزرده شدن اذهان عمومی و مردم مومن و شهیدپرور شد.

آن چه در این ویدئو شاهد بودیم، بی اعتنایی و غفلت به مقدسات دینی، و بی حرمتی به امام راحل و شهدای آرمیده در بهشت حضرت زهرا(س) بود که البته غیرقابل اغماض است.

بلافاصله پس از انتشار این ویدئو و با پیگیری‌های سازمان بهشت حضرت زهرا(س) مشخص شد که عوامل این نمایش، مجوزهای رسمی برای فیلمبرداری در این مکان مقدس را اخذ نکرده بوده (فیلمبرداری در سازمان بهشت حضرت زهرا(س) تنها با مجوز رسمی مرکز ارتباطات شهرداری میسر است)؛ همچنین زمان فیلمبرداری مربوط به ساعاتی بود که هنوز تشییع پیکرهای مومنین در این سازمان آغاز نشده بود.

همچنین به دلیل گردشی بودن سرکشی عوامل انضباطی سازمان که به صورت مستمر در قطعات در حال ساخت حضور ندارند، این تیم، در فرصت کوتاه نبودِ این عوامل برای تولید ویدیو بهره برده بودند.

یادآوری این نکته نیز حائز اهمیت است که از ابتدای استقرار مدیریت جدید در سازمان بهشت حضرت زهرا(س) با پوشاندن قبورِ خالی، پیشامدها و برخی حواشی حاصل از آن بین رفته، اما در فاصله چند روزه میان ساخت تا پوشاندن روی قبور، این تیم از این فرصت استفاده کرده و نسبت به تهیه ویدئو اقدام کردند.

سازمان بهشت حضرت زهرا(س) ضمن نکوهش ناهنجاری اول، و پس از تماس‌های مکرر با تیم تولید این نمایش، خواستار توضیحات آن‌ها درباره این اقدام، فیلمبرداری غیرقانونی در بهشت حضرت زهرا(س) و عذرخواهی آن ها از مردم و باالاخص خانواده محترم شهدا شد، اما با گذشت دو روز از اقدام نسنجیده این گروه و تعلل در پاسخ گویی به اذهان عمومی و خانواده محترم شهدا به این وسیله ضمن محکوم کردن این اقدام، اعتراض شدید خود را اعلام می‌دارد.

همچنین مسئولیت نظارت کلی با دژبان ارتش بوده که کوتاهی این نیروها قابل اغماض نیست.

‎توهین آشکار به مقدسات و باورهای جامعه اسلامی آن هم در فضای مقدس بهشت حضرت زهرا و در جوار شهدا و امام شهدا و اقدام غیرقانونی در ضبط و پخش این ویدئو از سوی این سازمان به شدت محکوم است.

سازمان بهشت حضرت زهرا(س)، ضمن محکوم کردن این تیزر مذکور، عنوان می‌دارد عوامل دست اندرکار نمایش دختران بابا آنتون می‌بایست نسبت به احساسات جریحه‌دارشده مردم پاسخگو باشند و وزارت فرهنگ و ارشاد اسلامی نیز لازم است با دستورات خود این اقدام ضدفرهنگی و هنجارشکنانه را از کارنامه حرفه‌ای خود بزدایند.

در پایان با توجه به اقدام غیر قانونی ضبط این ویدئو و ناهنجاری‌های بصری و محتوایی آن، این سازمان پیگیری حقوقی و قانونی موضوع را از سوی مراجع ذی‌صلاح، در دستور کار خود قرار داده است."""
14,"در گفت‌وگوی تلفنی با همتای عمانی

وزیر امور خارجه کشورمان با اشاره به سفر رئیسی رئیس جمهور کشورمان به عمان، این سفر را نقطه عطف جدیدی در روابط دو کشور بر شمرد و تاکید کرد: ثبات منطقه نباید تحت تاثیر بیگانگان قرار گیرد.

حسین امیرعبداللهیان عصر امروز، جمعه با بدر البوسعیدی وزیر امور خارجه سلطنت عمان در مورد مهم‌ترین موضوعات در دستور کار دوجانبه و همچنین برخی مسائل مورد اهتمام مشترک در عرصه منطقه‌ای و بین‌المللی به صورت تلفنی گفت‌وگو و تبادل نظر کرد.

وزیر امور خارجه کشورمان با اشاره به سفر رئیسی رئیس جمهور کشورمان به عمان، این سفر را نقطه عطف جدیدی در روابط دو کشور بر شمرد.

وی با توجه به اهتمام ویژه سران دو کشور برای توسعه بیش از پیش مناسبات تهران و مسقط، بر ضرورت پیگیری و اجرایی شدن توافقات انجام شده در این سفر تاکید کرد.

امیرعبداللهیان ضمن استقبال از سفر هیاتی از سوی دولت عمان به تهران با هدف پیگیری توافقات، بر عزم جدی دو طرف برای پیشبرد همکاری ها تاکید کرد.

رئیس دستگاه دیپلماسی کشورمان نقش عمان را در تحولات منطقه‌ای مهم ارزیابی و از تلاش های این کشور در استقرار صلح و ثبات و همکاری در منطقه تقدیر کرد.

امیرعبداللهیان با اشاره به سفر آتی بایدن رییس جمهور آمریکا به منطقه یادآور شد: مقامات منطقه نباید اجازه دهند که بیگانگان، همکاری و ثبات منطقه‌ای را تحت تاثیر قرار دهند. ما بر گفتگو و همکاری منطقه ای تاکید داریم. معتقدیم اهل منطقه باید در مورد آینده منطقه تصمیم بگیرند.

بدر البوسعیدی، وزیر امور خارجه عمان نیز در این گفت‌وگو ضمن تاکید بر اجرایی شدن توافقات انجام شده میان دو کشور در جریان سفر رئیسی به عمان اظهار داشت: ما نسبت به رویکرد دولت جدید جمهوری اسلامی ایران که بر پایه توسعه روابط با کشورهای منطقه می‌باشد، اطمینان داریم.

وزیر امور خارجه عمان همچنین از تشکیل کارگروهی در دولت عمان برای پیگیری توافقات صورت گرفته در سفر اخیر رئیس جمهور کشورمان به مسقط خبر داد.

طرفین در این تماس از استمرار آتش بس در یمن استقبال کردند. امیرعبداللهیان بر ضرورت لغو کامل محاصره انسانی یمن تاکید کرد.

امیرعبداللهیان همچنین همتای عمانی خود را در جریان آخرین تحولات مذاکره برای لغو تحریم ها قرار داد."
15,"در دیدار‌هایی که صبح امروز رییس سازمان توسعه تجارت با چند مقام روس داشت، بر موضوع تولید مشترک خودرو ایرانی – روسی در خاک ایران توافقات لازم به عمل آمد.

صبح امروز در نشست‌هایی جداگانه، علیرضا پیمان پاک، معاون وزیر صمت و رئیس سازمان توسعه تجارت با فایزولین وزیر مسکن روسیه، اسلپنیوف، وزیر تجارت در اتحادیه اقتصادی اوراسیا و ماکسیم سوکولوف مدیرعامل آوتاباس و وزیر سابق حمل و نقل روسیه دیدار و گفتگو کرد.

به گزارش سازمان توسعه تجارت، در این دیدار‌ها مذاکراتی برای صفر شدن تعرفه واردات گندم و روغن صورت گرفت و بر تولید مشترک خودرو در ایران توافق شد.

همچنین دو طرف در موضوع احداث شهرک‌ها و مناطق صنعتی مشترک و نیز استفاده از ظرفیت شهرک‌های موجود برای تجارت آزاد و تولیدات مشترک بحث و تبادل نظر کردند.

در این جلسات وزیر مسکن روسیه از اشتیاق و علاقه کشورش برای خرید مصالح ساختمانی و توربین از ایران خبر داد."
16,"رئیس جمهور با دیدن نامه پسربچه‌ی ۸ ساله که همراه نامه‌ی مادرش به‌صورت مجزا با دستخطی کودکانه درخواستش را مطرح کرد، دستور داد در کمترین زمان به خواسته‌ی «امیرحسین» به‌عنوان اولین نامه مردمی مورد رسیدگی قرار گیرد و ساعاتی بعد، نمایندگان رئیسی راهی جوی‌آباد خمینی‌شهر می‌شوند.

رئیس جمهور روز پنجشنبه ۲۶ خرداد ۱۴۰۰ در بیست‌وپنجمین سفر استانی خود همراه با جمعی از اعضای کابینه‌اش به اصفهان سفر کرد.

خبرگزاری دولت(ایرنا) نوشت: در این سفر هم مانند دیگر سفر‌های استانی رئیس جمهور تعداد زیادی از مردم با ارسال نامه‌های خود برای مرکز ارتباطات مردمی ریاست جمهوری به بیان گزارش‌ها و درخواست‌های خود از بالاترین مقام اجرایی کشور پرداختند، اما در میان نامه‌ها، نامه‌ای کودکانه همان اول نظر رئیسی را جلب کرد.

خانمی از اهالی جوی‌آباد خمینی‌شهر که همسرش کارگر و البته به‌دلیل درآمد اندک اجاره‌نشین هستند، نامه‌ای برای رئیسی می‌نویسد و به‌جای طرح درخواست‌های مادی از رئیس‌جمهور، خواستار آن می‌شود که دولت شرایط سفرشان به مشهد برای زیارت امام مهربانی‌ها را فراهم کند. همراه این نامه، تکّه کاغذی بریده شده از یک دفتر مشق قرار داشت که روی آن با خطی کودکانه و متنی بی تعارف و تکلُّف نوشته شده بود: «با سَلام خدمت رئیس جمهور. از شما درخاست یک دُچَرخه دارَم. دوستون دارَم. امیرحسین...».

هنگامی که مسئولان مرکز ارتباطات مردمی ریاست جمهوری نامه را به رئیسی می‌دهند، با دیدن نامه لبخندی بر لبانش می‌نشیند و می‌گوید: «شاد کردن دل این کودک نیاز به گذراندن مراحل پیچیده اداری ندارد و از ساده‌ترین کارهاست؛ اگر همین امروز هم می‌توانید این کار را انجام دهید، تأخیر نکنید».

حجت‌الاسلام «احمد صالحی» رئیس مرکز ارتباطات مردمی هم بلافاصله دستور لازم برای تهیه و تحویل دوچرخه را صادر می‌کند و تیمی از این مرکز هم پس از تهیه دوچرخه، عصر همان روز و در فاصله‌ای کمتر از نصف روز برای تحویل هدیه‌ی رئیس جمهور به «امیرحسین» راهی خمینی‌شهر شدند و البته با توجه به بررسی وضعیت اقتصادی خانواده‌ی او قرار شد تسهیلاتی نیز برای آن‌ها در نظر گرفته شود.

خانواده‌ی «امیرحسین» که از دیدن نماینده رئیس جمهور غافلگیر شده بودند، ضمن تشکر از توجه ویژه رئیسی به درخواست فرزندشان که اولین نامه‌ای بود که در جریان سفر رئیس جمهور مورد رسیدگی قرار گرفت، تقاضا داشتند به خواسته‌های همه‌ی کسانی که برای رئیس جمهور نامه نوشته‌اند با همین فوریت توجه شود که مسئولان مرکز ارتباطات مردمی به آن‌ها اطمینان دادند همه‌ی نامه‌های مردمی در در یک فرایند زمانی کوتاه بررسی و پاسخ داده می‌شوند.

در حاشیه سفر روز گذشته رئیس جمهور به اصفهان، شماری از وزرا و معاونان آن‌ها به‌عنوان نمایندگان تام الاختیار رئیس جمهور در ۳۰ نقطه از استان حضور یافتند و با برپایی میز‌های ارتباطات مردمی علاوه بر دیدار چهره‌به‌چهره با مردم و بررسی شکایات و پیشنهادات، خواسته‌ها و نامه‌های مکتوب مردمی را نیز دریافت کردند که این نامه‌ها ظرف یک هفته ثبت و کد رهگیری به متقاضیان اعلام خواهد شد و سپس ظرف مدت یک ماه ارجاعات به دستگاه‌های اجرایی مربوطه انجام می‌شود."
17,"با حضور نیکی کریمی در میان داوران؛

مراسم اعلام برندگان بیست و یکمین دوره جشنواره فیلم ترایبکا با حضور نیکی کریمی به عنوان یکی از داوران بخش مسابقه بین‌الملل برگزار شد.

فیلم سینمایی «دختر خوب جِین» به نویسندگی و کارگردانی «سارا الیزابت مینتز» موفق به کسب جایزه اصلی (Founders Prize) برای بهترین فیلم داستانی آمریکایی شد

به گزارش ایندی‌وایر، فیلم «دختر خوب جین» داستان نوجوانی را دنبال می کند که مدرسه را ترک می‌کند و عاشق یک فروشنده مواد مخدر کاریزماتیک می شود. «راین اسپنسر» بازیگر اصلی نقش جین در این فیلم نیز جایزه بهترین بازیگر زن جشنواره را به خود اختصاص داد.

در بخش بخش مسابقه بین الملل بیست و یکمین دوره جشنواره فیلم ترایبکا که نیکی کریمی کارگردان، تهیه‌کننده و بازیگر سینمای ایران در کنار «روزانا آرکِت»، «لوسی بوینتون»، «آنتونی ادواردز»، «ازازل جیکوبز» اعضای هیات داوران آن را تشکیل می‌دادند در نهایت فیلم «ژانویه» به نویسندگی و کارگردانی «ویستورس کاریس» از لتونی جایزه اصلی را به خود اختصاص داد.

جشنواره فیلم ترایبکا در سال ۲۰۰۲ توسط «رابرت دنیرو» و «جین رُزنتال» در واکنش به رویداد حملات ۱۱ سپتامبر ۲۰۰۱ به برج‌های مرکز تجارت جهانی به منظور هم‌دردی با بازماندگان واقعه در محله ترایبکا در منتهن بنیان گذاشته شد. این جشنواره پس از چند سال برگزاری به جشنواره‌ای معتبر و بین‌المللی تبدیل شده است.

بیست و یکمین جشنواره فیلم ترایبکا امسال از ۸ تا ۱۹ ژوئن (۱۸ تا ۲۹ خرداد) برگزار می‌شود."
18,"طبق آخرین وضعیت محور‌های شمالی، ترافیک در محور چالوس مسیر (شمال به جنوب) حدفاصل مرزن آباد تا هزارچم و محدوده سدامیرکبیر و حدفاصل آدران تا وینه سنگین و در محدوده‌های پورکان و سرودار نیمه سنگین است.

به گزارش مرکز مدیریت راه‌های کشور، تردد از آزادراه تهران - شمال تا اطلاع بعدی ممنوع می‌باشد و تردد روان در مسیر (شمال به جنوب) برقرار است.

همچنین ترافیک در محور هراز مسیر (جنوب به شمال) محدوده سه راهی چلاو و مسیر (شمال به جنوب) محدوده پیست آبعلی، در آزادراه و محور قدیم پردیس - تهران محدوده جاجرود سنگین است.

تردد در محور فیروزکوه و آزادراه قزوین - رشت (رفت و برگشت) روان می‌باشد.

براساس این گزارش محور‌های شمالی بدون هرگونه مداخلات جوی هستند.

آخرین وضعیت ترافیکی سایر محور‌ها نشان می‌د هد که در آزادراه قزوین - کرج حدفاصل محمدشهر تا پل کلاک و محور تهران - فشم وبالعکس حدفاصل حاجی آباد تا رودک ترافیک سنگین است.

براساس این گزارش، محور شریانی ریگان - ایرانشهر مسدود است همچنین محور‌های وازک - بلده، هشتگرد - طالقان، لاسم - ارجمند دارای انسداد فصلی هستند."
19,"خبرگزاری فرانسه روز جمعه اعلام کرد که این حادثه باعث آتش‌سوزی در ۲ هزار مترمربع از درختان کاج این منطقه شده است.

بر اساس این گزارش، آتش‌سوزی در اوایل بعدازظهر امروز تحت کنترل قرار گرفت و آتش‌نشانان و ژاندارمری اطلاع دادند که در سانحه سقوط این هواپیمای مسافربری کوچک در منطقه مارتیاک واقع در شهرستان ژیروند، سه نفر جان باختند.

به گفته ژاندارمری، اندکی پس از ساعت ۹:۳۰ صبح به وقت محلی، این هواپیما از فرودگاه سوکتس (Saucats) در همان حوالی بلند شد و سپس در منطقه جنگلی در ۲ کیلومتری آن سقوط کرد.

به گفته آتش نشانان حوالی ساعت ۱۳:۰۰، سرنشینان هواپیما شامل ۲ زن و یک مرد، در این سانحه جان باختند.

این گزارش می‌افزاید: ۴۰ آتش‌نشان برای مهار آتش‌سوزی در این محل بسیج شدند و تحقیقاتی به گروه ژاندارمری ژیروند و بخش تحقیقات ژاندارمری حمل و نقل هوایی برای بررسی موضوع، محول شد."
